prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings,crashes,skids,utility
0.12261306532663317,25,0,0.5833333333333334,6.15,187,18,68,3,1,0.07256281407035192
0.1407035175879397,34,0,0.5853658536585366,7.368421052631579,245,12,97,2,3,0.155175879396985
0.0914572864321608,24,0,0.6129032258064516,6.066666666666666,240,12,72,2,3,0.15447236180904533
0.09949748743718594,23,0,0.5106382978723404,7.071428571428571,225,12,60,1,1,0.27216080402010057
0.09246231155778895,23,0,0.54,5.411764705882353,282,11,53,2,0,0.18532663316582929
0.12763819095477386,27,1,0.55,6.35,237,11,66,2,2,0.1666331658291458
0.10753768844221105,28,0,0.5409836065573771,6.294117647058823,262,12,66,1,1,0.27356783919597993
0.09949748743718594,19,1,0.6274509803921569,8.25,271,12,58,3,1,0.07829145728643233
0.0914572864321608,25,4,0.6212121212121212,6.066666666666666,308,21,75,2,1,0.17597989949748757
0.1135678391959799,25,1,0.6031746031746031,7.0625,252,21,69,2,3,0.15597989949748753
0.09547738693467336,25,0,0.4791666666666667,6.333333333333333,263,39,46,3,3,0.05407035175879412
0.04522613065326633,10,0,0.5454545454545454,6.428571428571429,268,11,25,0,1,0.37326633165829154
0.09447236180904522,24,1,0.5555555555555556,7.230769230769231,285,12,59,1,2,0.2669346733668342
0.12964824120603016,25,0,0.576271186440678,6.842105263157895,214,34,73,2,1,0.17577889447236195
0.12562814070351758,30,0,0.6,7.352941176470588,278,29,94,1,3,0.2554773869346734
0.07336683417085427,18,0,0.6470588235294118,5.214285714285714,250,43,49,1,3,0.24743718592964828
0.09547738693467336,19,0,0.5869565217391305,6.785714285714286,255,19,60,5,3,-0.14613065326633137
0.03015075376884422,5,0,0.4444444444444444,10.0,215,12,8,1,0,0.2781909547738694
0.10753768844221105,26,0,0.5185185185185185,5.684210526315789,322,13,64,2,2,0.16371859296482422
0.12261306532663317,32,1,0.5294117647058824,6.1,210,23,79,1,3,0.25507537688442217
0.08844221105527639,21,1,0.6612903225806451,8.0,265,23,62,0,2,0.3671356783919599
0.07035175879396985,24,4,0.6470588235294118,5.833333333333333,265,15,75,0,3,0.3528643216080402
0.0914572864321608,24,0,0.5471698113207547,6.066666666666666,242,11,57,0,2,0.3652261306532664
0.08442211055276382,22,2,0.5319148936170213,7.0,273,30,48,0,0,0.38381909547738696
0.08743718592964825,21,0,0.5714285714285714,6.6923076923076925,206,18,52,0,2,0.3640201005025126
0.06432160804020101,15,2,0.5,6.4,275,18,27,0,0,0.3858291457286433
0.12562814070351758,29,0,0.48214285714285715,7.352941176470588,290,16,70,1,2,0.26582914572864336
0.07939698492462312,27,6,0.37209302325581395,6.583333333333333,320,52,34,2,2,0.16502512562814087
0.1035175879396985,30,1,0.5774647887323944,6.4375,278,11,72,3,2,0.06633165829145746
0.0914572864321608,22,0,0.4883720930232558,7.0,216,18,50,0,0,0.38361809045226136
0.13366834170854272,31,1,0.5571428571428572,7.0,256,12,77,1,2,0.26974874371859303
0.07939698492462312,12,0,0.5714285714285714,7.181818181818182,226,12,32,2,0,0.18070351758793987
0.08844221105527639,27,1,0.5344827586206896,4.4,277,12,65,1,2,0.2664321608040202
0.03819095477386935,9,0,0.55,6.333333333333333,250,18,22,2,0,0.18271356783919612
0.13869346733668342,27,0,0.6029411764705882,6.571428571428571,216,20,67,1,2,0.2662311557788945
0.034170854271356785,6,1,0.625,6.8,247,12,18,1,0,0.2840201005025127
0.07035175879396985,20,0,0.6363636363636364,5.916666666666667,212,12,72,0,0,0.38140703517587937
