avg_len_man,crashes,n_RtI,n_emergency,prob_underp_above_th,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.1875,1,28,0,0.006772685726925021,0.09949748743718594,0.5254237288135594,72,18,2,315,0.26713567839195984
5.571428571428571,1,23,0,0.12836511399064343,0.07839195979899498,0.5576923076923077,59,16,1,294,0.2728643216080403
8.0625,0,27,0,4.169098545836469e-06,0.12964824120603016,0.5178571428571429,63,12,2,274,0.3669346733668342
6.0,5,36,0,0.00105707384039333,0.14472361809045226,0.4857142857142857,73,35,2,247,-0.1364824120603013
7.461538461538462,3,20,2,0.005087479771722525,0.09748743718592964,0.5918367346938775,53,19,0,261,0.08462311557788964
6.5,3,22,1,0.08954243986884258,0.07839195979899498,0.56,49,40,1,277,0.07105527638190973
6.733333333333333,0,25,0,0.0007454451646232707,0.10150753768844221,0.5283018867924528,61,24,2,206,0.36643216080402014
8.25,1,24,3,5.639698986037445e-06,0.13266331658291458,0.5932203389830508,77,12,2,211,0.270854271356784
7.277777777777778,1,29,1,6.862170174093407e-06,0.13165829145728644,0.5245901639344263,72,13,1,234,0.2795979899497488
7.0588235294117645,2,29,1,5.55306180425319e-05,0.12060301507537688,0.5857142857142857,76,31,1,258,0.1735678391959801
6.833333333333333,0,29,0,2.1831947153438946e-06,0.12361809045226131,0.5538461538461539,68,20,3,263,0.35909547738693476
7.133333333333334,1,25,1,0.007688277629409712,0.10653266331658291,0.6710526315789473,91,41,3,225,0.25356783919597997
8.357142857142858,1,23,0,4.2926024376055416e-05,0.11758793969849246,0.5660377358490566,60,16,2,260,0.2693467336683418
5.44,2,36,1,0.00014526781766999175,0.13668341708542714,0.5443037974683544,84,11,2,247,0.16864321608040214
7.666666666666667,2,30,1,2.2562557069005784e-05,0.13869346733668342,0.5081967213114754,61,11,2,276,0.1689447236180906
7.352941176470588,0,27,3,1.4372011963859066e-06,0.12562814070351758,0.6197183098591549,71,21,0,231,0.38402010050251256
7.0,0,20,0,0.003281171219630896,0.10452261306532663,0.6,70,14,2,229,0.3636180904522614
7.05,3,24,0,2.3239981487011008e-06,0.14170854271356784,0.5789473684210527,61,12,1,218,0.07557788944723633
5.588235294117647,1,28,0,0.004372115542839339,0.09447236180904522,0.5172413793103449,64,12,2,236,0.26351758793969854
1.5714285714285714,0,11,2,0.9522361645794701,0.011055276381909548,0.45,10,29,0,302,0.3802010050251257
6.933333333333334,2,27,2,0.010063603298915869,0.10452261306532663,0.49056603773584906,62,24,3,271,0.15296482412060314
6.142857142857143,0,14,0,0.4968461421238213,0.04321608040201005,0.5172413793103449,32,12,1,311,0.3725628140703518
6.785714285714286,0,25,0,0.0010091170901180835,0.09547738693467336,0.5901639344262295,69,11,0,227,0.3846231155778895
8.384615384615385,1,18,0,0.0001860987339714626,0.10954773869346733,0.5263157894736842,45,11,1,255,0.2759798994974876
7.666666666666667,1,23,0,6.237404609144015e-05,0.11557788944723618,0.5106382978723404,58,11,1,224,0.2743718592964825
6.529411764705882,1,22,0,0.002108463943003125,0.11155778894472362,0.6764705882352942,79,21,2,283,0.26492462311557796
5.5,0,22,2,0.067089440305522,0.07738693467336684,0.5925925925925926,51,17,3,285,0.3554773869346734
6.625,3,31,1,0.0017629235849957459,0.10452261306532663,0.5373134328358209,82,40,1,293,0.07587939698492477
7.529411764705882,0,27,0,0.0005383559574994035,0.12864321608040202,0.6142857142857143,83,15,3,219,0.35688442211055277
7.0,0,19,1,0.010483129146670045,0.08442211055276382,0.45714285714285713,50,12,2,249,0.36150753768844224
6.157894736842105,0,25,0,0.005030864043500172,0.11758793969849246,0.5454545454545454,62,13,3,273,0.35949748743718596
6.04,3,36,1,2.2665770698315768e-05,0.15175879396984926,0.4857142857142857,68,11,2,258,0.06934673366834188
7.75,3,39,4,0.0035660598328923765,0.15577889447236182,0.417910447761194,97,25,5,227,0.02884422110552779
7.6,1,24,0,0.012505819365375648,0.11457286432160804,0.48936170212765956,60,14,6,255,0.22432160804020104
5.909090909090909,0,21,2,0.17241341036293623,0.06432160804020101,0.5531914893617021,45,29,3,245,0.35407035175879403
