prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings,crashes,skids,utility,n_exp,pr_rock
0.6743718592964824,278,38,0.1393188854489164,5.570247933884297,147,995,56,27,8,-2.394874371859296,9,0.2
0.7075376884422111,239,20,0.17586206896551723,6.98019801980198,87,995,60,33,6,-3.002412060301507,9,0.3
0.7256281407035176,228,12,0.16176470588235295,7.541666666666667,55,995,55,53,8,-5.065226130653266,9,0.4
0.07738693467336684,20,2,0.6153846153846154,5.5,245,18,57,0,1,0.3743718592964825,10,0.05
0.1577889447236181,27,0,0.578125,7.136363636363637,177,31,73,6,7,-0.29497487437185904,10,0.1
0.6914572864321608,244,29,0.20261437908496732,7.252631578947368,96,995,37,33,6,-2.984623115577889,10,0.2
0.7135678391959799,232,12,0.18309859154929578,7.03960396039604,83,995,14,39,3,-3.588140703517588,10,0.3
0.7105527638190955,227,11,0.20905923344947736,7.151515151515151,54,995,58,44,2,-4.105527638190955,10,0.4
0.10954773869346733,22,0,0.6615384615384615,7.333333333333333,217,11,73,3,4,0.04321608040201011,11,0.05
0.021105527638190954,11,4,0.5,4.2,225,11,18,0,0,0.370854271356784,11,0.1
0.6673366834170854,271,52,0.1787878787878788,5.6752136752136755,179,995,20,37,8,-3.412562814070352,11,0.2
0.7125628140703517,236,19,0.17192982456140352,7.395833333333333,61,995,86,41,5,-3.8072361809045225,11,0.3
0.700502512562814,238,12,0.19865319865319866,6.833333333333333,74,995,48,39,6,-3.6226130653266333,11,0.4
0.12060301507537688,29,1,0.49122807017543857,8.0,240,41,56,2,4,0.1455276381909549,12,0.05
0.21206030150753769,70,9,0.2222222222222222,6.0285714285714285,219,149,52,8,6,-0.4819095477386933,12,0.1
0.6452261306532663,294,51,0.16477272727272727,5.487179487179487,158,995,45,27,5,-2.3799999999999994,12,0.2
0.7035175879396985,244,19,0.17006802721088435,7.08080808080808,75,995,31,35,6,-3.2078391959798997,12,0.3
0.7195979899497488,209,8,0.24820143884892087,7.793478260869565,45,995,46,49,2,-4.599798994974875,12,0.4
0.09246231155778895,17,0,0.7166666666666667,7.076923076923077,322,17,65,0,1,0.3797989949748744,13,0.05
0.1678391959798995,47,4,0.43373493975903615,6.958333333333333,190,82,78,4,4,-0.06613065326633152,13,0.1
0.7015075376884422,252,27,0.14576271186440679,6.297297297297297,121,994,19,30,8,-2.698492462311558,13,0.2
0.7055276381909548,218,19,0.2534246575342466,7.173469387755102,103,995,75,41,9,-3.8416080402010047,13,0.3
0.7035175879396985,209,11,0.2891156462585034,7.876404494382022,50,995,58,56,3,-5.317487437185929,13,0.4
0.04221105527638191,9,0,0.4375,7.0,277,19,15,0,1,0.37678391959798996,14,0.05
0.12261306532663317,26,0,0.5185185185185185,6.1,191,13,64,3,4,0.03195979899497502,14,0.1
0.650251256281407,287,49,0.16326530612244897,5.626086956521739,159,988,59,31,7,-2.7980904522613064,14,0.2
