avg_len_man,crashes,n_RtI,n_emergency,prob_underp_above_th,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
6.8125,1,26,0,1.1102230246251565e-16,0.10954773869346733,0.5185185185185185,57,11,1,297,0.27859296482412066
5.666666666666667,2,28,0,7.438494264988549e-15,0.10251256281407035,0.5172413793103449,66,18,1,220,0.17437185929648258
5.0625,0,28,1,5.565252703121359e-10,0.0814070351758794,0.6363636363636364,79,23,0,263,0.3777889447236182
5.5,1,5,1,0.10131937553227033,0.011055276381909548,0.375,10,12,0,244,0.2787939698492463
6.625,0,22,1,2.220446049250313e-16,0.10653266331658291,0.56,56,17,2,239,0.3659296482412061
7.411764705882353,0,29,0,1.1102230246251565e-16,0.12663316582914572,0.5797101449275363,81,11,0,262,0.3831155778894473
7.363636363636363,0,19,2,1.883579070494079e-09,0.0814070351758794,0.6122448979591837,51,11,2,299,0.36703517587939705
6.5,0,23,3,2.2126855903081832e-11,0.0914572864321608,0.5964912280701754,60,11,2,255,0.36592964824120605
7.75,1,21,0,3.197442310920451e-14,0.09346733668341708,0.58,67,19,2,273,0.26291457286432174
4.5,1,35,2,2.427946732552755e-12,0.09045226130653267,0.4166666666666667,56,31,1,286,0.2748743718592966
6.8125,1,20,0,2.9620750296999176e-13,0.10954773869346733,0.6923076923076923,72,11,3,290,0.2560804020100503
7.533333333333333,0,22,0,1.1102230246251565e-16,0.11256281407035176,0.6507936507936508,75,12,3,248,0.3545728643216081
6.545454545454546,3,15,0,1.8978618676612768e-10,0.07236180904522613,0.6739130434782609,46,25,0,224,0.08572864321608054
8.214285714285714,1,22,1,2.220446049250313e-16,0.11557788944723618,0.6451612903225806,65,19,3,244,0.2529648241206031
6.217391304347826,3,36,0,1.1102230246251565e-16,0.14371859296482412,0.4098360655737705,67,66,1,294,0.07437185929648253
6.95,0,26,1,1.1102230246251565e-16,0.13969849246231156,0.59375,71,28,3,262,0.35949748743718596
