avg_len_man,crashes,n_RtI,n_emergency,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
7.0588235294117645,3,28,4,0.12060301507537688,0.5254237288135594,66,28,0,250,0.08502512562814087
4.875,1,22,0,0.07839195979899498,0.4883720930232558,50,23,0,222,0.2830150753768846
5.0,0,26,8,0.06030150753768844,0.6666666666666666,101,12,2,291,0.3575879396984925
5.583333333333333,2,18,0,0.06733668341708543,0.6086956521739131,47,18,0,285,0.1797989949748745
6.2727272727272725,1,18,1,0.06934673366834171,0.6086956521739131,39,28,0,249,0.2867336683417086
7.722222222222222,2,26,0,0.13969849246231156,0.5185185185185185,61,18,1,213,0.17678391959799003
6.5,0,21,0,0.0914572864321608,0.6612903225806451,70,18,4,190,0.34241206030150756
7.153846153846154,0,18,1,0.09346733668341708,0.6170212765957447,55,18,0,261,0.3853266331658292
7.230769230769231,1,21,1,0.09346733668341708,0.43243243243243246,40,11,2,286,0.2704522613065328
7.222222222222222,1,16,0,0.06532663316582915,0.4838709677419355,33,24,1,300,0.2745728643216081
7.7,1,14,0,0.07738693467336684,0.7021276595744681,46,16,0,262,0.28814070351758797
4.538461538461538,1,23,0,0.0592964824120603,0.6166666666666667,66,11,2,266,0.26040201005025126
7.214285714285714,1,23,0,0.10150753768844221,0.5576923076923077,55,11,1,273,0.279497487437186
7.0625,1,23,0,0.1135678391959799,0.6290322580645161,81,13,0,312,0.2860301507537689
6.666666666666667,2,13,5,0.04020100502512563,0.5,16,42,1,210,0.17035175879396997
6.5,0,25,3,0.0914572864321608,0.6376811594202898,80,25,1,201,0.3727638190954774
8.076923076923077,1,21,2,0.10552763819095477,0.5434782608695652,43,13,0,252,0.2936683417085428
4.0,1,21,5,0.05226130653266332,0.5116279069767442,28,33,1,274,0.2724623115577891
6.0625,1,23,0,0.09748743718592964,0.640625,72,17,4,271,0.24321608040201012
4.2,0,9,2,0.021105527638190954,0.6086956521739131,19,11,0,324,0.38341708542713565
5.2727272727272725,0,14,0,0.05829145728643216,0.6818181818181818,49,13,1,259,0.3731658291457287
7.055555555555555,0,34,1,0.12663316582914572,0.48484848484848486,76,18,2,225,0.3668341708542714
6.722222222222222,3,28,3,0.12160804020100502,0.6111111111111112,72,31,0,220,0.08422110552763833
6.357142857142857,3,22,0,0.08944723618090453,0.6140350877192983,76,40,2,228,0.0632160804020102
8.0,1,21,0,0.10452261306532663,0.5714285714285714,59,18,5,243,0.23557788944723626
6.241379310344827,5,54,5,0.18190954773869347,0.35714285714285715,55,112,2,229,-0.1311557788944723
7.2,2,21,1,0.10854271356783919,0.65,70,12,2,240,0.16743718592964832
5.833333333333333,1,8,1,0.035175879396984924,0.6190476190476191,14,19,0,285,0.28412060301507547
6.65,2,30,0,0.13366834170854272,0.5652173913043478,82,11,1,274,0.17638190954773886
3.8823529411764706,0,24,1,0.06633165829145729,0.5789473684210527,58,18,2,287,0.36442211055276386
5.363636363636363,2,12,1,0.0592964824120603,0.45454545454545453,23,24,3,340,0.15809045226130672
4.809523809523809,1,35,6,0.10150753768844221,0.5070422535211268,65,48,4,273,0.24562814070351768
5.7,4,15,0,0.05728643216080402,0.6666666666666666,49,11,1,300,-0.0264321608040199
7.076923076923077,1,23,0,0.09246231155778895,0.6166666666666667,69,19,1,331,0.27256281407035193
6.75,1,15,1,0.0814070351758794,0.6052631578947368,41,25,2,285,0.264924623115578
6.266666666666667,0,27,2,0.09447236180904522,0.5714285714285714,64,19,1,266,0.3723618090452262
6.826086956521739,3,30,1,0.1577889447236181,0.45454545454545453,69,12,1,294,0.0775879396984926
6.533333333333333,2,23,0,0.09849246231155778,0.5818181818181818,55,48,3,260,0.1558793969849247
7.5,2,27,1,0.12060301507537688,0.6625,95,30,0,212,0.17869346733668348
6.6875,1,23,1,0.10753768844221105,0.6290322580645161,76,12,2,187,0.2615075376884423
6.2,1,10,0,0.031155778894472363,0.5238095238095238,17,18,0,264,0.2831155778894473
8.4,1,22,0,0.12663316582914572,0.6716417910447762,90,18,1,210,0.27356783919598
5.555555555555555,1,14,0,0.05025125628140704,0.6216216216216216,38,11,0,253,0.28160804020100505
7.304347826086956,1,37,0,0.16884422110552763,0.44776119402985076,74,36,2,200,0.2675376884422111
7.523809523809524,0,28,0,0.1577889447236181,0.5483870967741935,73,18,0,241,0.3910552763819096
4.5,0,11,0,0.027135678391959798,0.3888888888888889,26,12,1,262,0.3694472361809046
7.291666666666667,1,43,0,0.17587939698492464,0.45569620253164556,115,12,1,203,0.27678391959799
6.913043478260869,0,32,0,0.15979899497487438,0.6144578313253012,97,12,3,220,0.35296482412060304
6.615384615384615,1,21,0,0.0864321608040201,0.6865671641791045,69,12,0,241,0.2840201005025127
6.2105263157894735,2,29,2,0.11758793969849246,0.5797101449275363,81,11,4,244,0.14251256281407043
5.9,4,36,2,0.1185929648241206,0.4626865671641791,72,25,0,277,-0.014371859296482237
6.888888888888889,2,18,0,0.062311557788944726,0.5384615384615384,43,15,1,278,0.1733668341708543
5.714285714285714,0,10,0,0.04020100502512563,0.6551724137931034,30,11,0,238,0.38472361809045225
7.333333333333333,1,25,0,0.11055276381909548,0.5967741935483871,65,11,0,230,0.28532663316582924
7.473684210526316,1,34,0,0.14271356783919598,0.46875,67,24,1,242,0.2780904522613066
6.2105263157894735,1,30,0,0.1185929648241206,0.5238095238095238,76,13,4,223,0.2408040201005026
8.272727272727273,2,17,0,0.0914572864321608,0.6792452830188679,63,23,1,249,0.17366834170854284
7.357142857142857,2,22,0,0.10251256281407035,0.5217391304347826,56,14,0,311,0.1862311557788946
6.947368421052632,1,32,1,0.13266331658291458,0.4666666666666667,74,22,4,267,0.24190954773869358
4.785714285714286,1,19,0,0.06733668341708543,0.525,38,11,0,277,0.2823115577889448
5.230769230769231,2,16,0,0.06834170854271357,0.7090909090909091,56,18,2,288,0.16804020100502523
7.545454545454546,1,23,2,0.08341708542713568,0.5660377358490566,57,16,0,241,0.2829145728643216
7.375,1,28,1,0.1185929648241206,0.5,60,18,3,225,0.25497487437185945
6.25,1,22,2,0.07537688442211055,0.6071428571428571,62,21,2,284,0.2595979899497488
5.785714285714286,1,18,1,0.0814070351758794,0.5813953488372093,57,19,2,242,0.2654271356783921
6.823529411764706,0,22,0,0.11658291457286432,0.6901408450704225,83,12,2,237,0.36281407035175883
6.947368421052632,2,26,0,0.13266331658291458,0.5806451612903226,75,19,1,286,0.17899497487437194
7.923076923076923,2,24,4,0.1035175879396985,0.625,72,11,3,294,0.15527638190954782
6.0,1,10,1,0.04824120603015075,0.6296296296296297,32,24,1,259,0.274673366834171
6.777777777777778,0,28,0,0.12261306532663317,0.5409836065573771,68,17,2,228,0.36592964824120605
6.882352941176471,1,29,0,0.11758793969849246,0.4528301886792453,62,12,1,240,0.27316582914572873
6.733333333333333,1,25,0,0.10050251256281408,0.5370370370370371,59,17,1,233,0.2723618090452262
7.0,1,35,0,0.14773869346733667,0.38596491228070173,79,13,1,214,0.27497487437185936
6.55,3,32,1,0.1306532663316583,0.5223880597014925,76,17,0,237,0.08422110552763831
6.7368421052631575,1,29,2,0.12864321608040202,0.532258064516129,66,12,1,229,0.2781909547738694
6.333333333333333,0,5,0,0.019095477386934675,0.5454545454545454,11,11,0,277,0.3817085427135679
7.333333333333333,2,17,0,0.08844221105527639,0.5142857142857142,33,26,0,267,0.1834170854271358
8.363636363636363,2,19,2,0.09246231155778895,0.6935483870967742,71,16,3,293,0.15296482412060308
5.916666666666667,2,18,1,0.07135678391959799,0.6086956521739131,46,20,0,245,0.18341708542713572
7.444444444444445,3,27,0,0.13467336683417086,0.4807692307692308,55,11,3,239,0.059296482412060446
7.0,0,24,0,0.12562814070351758,0.5932203389830508,78,13,1,221,0.37728643216080404
5.3,0,30,2,0.10653266331658291,0.5774647887323944,71,13,0,228,0.3865326633165829
6.461538461538462,0,17,0,0.08442211055276382,0.6666666666666666,64,12,2,244,0.3661306532663317
8.444444444444445,1,31,0,0.1527638190954774,0.5230769230769231,80,11,2,249,0.26201005025125634
6.142857142857143,1,24,1,0.0864321608040201,0.625,66,12,1,278,0.2774874371859297
5.833333333333333,0,10,3,0.035175879396984924,0.6875,31,19,0,263,0.3810050251256282
6.105263157894737,0,27,0,0.11658291457286432,0.4489795918367347,58,12,1,265,0.37939698492462315
6.6875,2,27,0,0.10753768844221105,0.55,66,17,2,262,0.16361809045226144
6.954545454545454,0,33,1,0.15376884422110554,0.45,62,30,3,223,0.35829145728643214
7.5,3,27,3,0.10552763819095477,0.5344827586206896,59,11,1,248,0.07195979899497498
7.454545454545454,1,14,1,0.0814070351758794,0.7083333333333334,52,14,0,252,0.2861306532663317
6.157894736842105,1,34,2,0.11758793969849246,0.47692307692307695,73,12,0,228,0.28180904522613076
5.631578947368421,0,30,0,0.10753768844221105,0.4827586206896552,61,23,2,265,0.3666331658291458
6.857142857142857,1,24,0,0.0964824120603015,0.5862068965517241,61,13,1,237,0.27507537688442224
7.642857142857143,3,26,0,0.10753768844221105,0.6,74,13,2,243,0.0643216080402012
6.777777777777778,0,27,0,0.12261306532663317,0.5573770491803278,78,13,0,208,0.3833165829145729
6.75,0,14,0,0.054271356783919596,0.5172413793103449,36,12,1,204,0.3715577889447237
6.714285714285714,1,13,1,0.04723618090452261,0.5,29,14,1,262,0.2712562814070353
7.5625,0,26,0,0.12160804020100502,0.5272727272727272,65,12,2,256,0.3657286432160805
6.181818181818182,1,38,4,0.13668341708542714,0.4794520547945205,72,20,2,275,0.2691457286432162
8.7,2,35,0,0.1748743718592965,0.43548387096774194,71,28,3,242,0.1568844221105529
6.076923076923077,2,19,0,0.07839195979899498,0.5581395348837209,51,14,0,278,0.18211055276381913
5.285714285714286,0,24,3,0.0743718592964824,0.52,58,17,2,326,0.36371859296482417
4.625,1,15,3,0.0371859296482412,0.375,21,30,0,283,0.28482412060301515
6.25,0,8,0,0.02512562814070352,0.4666666666666667,13,17,0,275,0.382211055276382
7.684210526315789,1,28,0,0.14673366834170853,0.5757575757575758,80,21,4,237,0.24613065326633174
7.526315789473684,0,27,0,0.14371859296482412,0.5846153846153846,78,12,5,246,0.337889447236181
