avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_rock,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
7.836956521739131,53,225,10,11,0.4,0.7236180904522613,0.17883211678832117,44,995,8,53,-5.068341708542714
8.777777777777779,32,74,0,11,0.5,0.47537688442211057,0.8579654510556622,54,995,3,9,-2.9339698492462314
8.72549019607843,27,65,0,11,0.6,0.4462311557788945,0.8818181818181818,29,995,1,6,-2.431557788944723
5.6,2,8,1,12,0.1,0.02814070351758794,0.68,24,22,1,234,0.1620100502512564
6.559523809523809,19,189,16,12,0.2,0.5527638190954773,0.20253164556962025,74,643,8,103,-1.5994974874371857
6.547169811320755,36,246,20,12,0.3,0.6964824120603015,0.18272425249169436,33,995,5,86,-3.2997989949748745
7.903225806451613,45,213,4,12,0.4,0.7376884422110552,0.18076923076923077,9,995,7,49,-4.238090452261306
8.452054794520548,43,128,2,12,0.5,0.6190954773869347,0.6613756613756614,96,995,3,23,-4.031959798994975
8.982142857142858,32,73,0,12,0.6,0.5045226130653266,0.8516260162601627,63,995,4,10,-2.9567839195979895
7.142857142857143,1,11,0,13,0.1,0.05025125628140704,0.35294117647058826,16,34,1,142,0.2566834170854272
6.405405405405405,42,241,28,13,0.2,0.7115577889447237,0.15734265734265734,63,995,3,109,-3.8629145728643217
6.2792792792792795,46,245,13,13,0.3,0.699497487437186,0.17785234899328858,28,995,6,98,-4.319396984924623
7.827956989247312,51,223,7,13,0.4,0.7316582914572864,0.16165413533834586,55,995,6,40,-4.841708542713568
7.533333333333333,49,192,9,13,0.5,0.6804020100502512,0.3943217665615142,35,995,2,37,-4.616381909547739
9.784313725490197,36,58,0,13,0.6,0.5015075376884423,0.8828282828282829,25,995,2,5,-3.3438190954773868
6.4375,2,26,1,14,0.1,0.1035175879396985,0.5873015873015873,64,19,3,185,0.14190954773869358
5.317073170731708,27,293,45,14,0.2,0.6552763819095477,0.14327485380116958,78,995,4,130,-2.369045226130653
6.815533980582524,34,240,20,14,0.3,0.7035175879396985,0.1836734693877551,79,995,5,81,-3.1043216080402014
7.911111111111111,38,214,6,14,0.4,0.714572864321608,0.24381625441696114,44,995,4,54,-3.517688442211055
8.790123456790123,53,163,5,14,0.5,0.7155778894472362,0.4219858156028369,55,995,6,24,-5.058391959798995
9.326923076923077,44,63,0,14,0.6,0.4864321608040201,0.8764705882352941,128,995,2,7,-4.147035175879397
3.9714285714285715,5,78,19,15,0.1,0.13969849246231156,0.15217391304347827,30,197,0,252,-0.12884422110552748
5.7844827586206895,29,279,38,15,0.2,0.671356783919598,0.1441717791411043,46,995,5,126,-2.5808040201005027
7.04,46,239,38,15,0.3,0.7075376884422111,0.17586206896551723,55,995,5,108,-4.297386934673367
7.260416666666667,37,228,16,15,0.4,0.699497487437186,0.2348993288590604,69,995,5,59,-3.4303517587939703
8.568965517241379,41,87,0,15,0.5,0.4994974874371859,0.8249496981891348,47,995,3,22,-3.833266331658291
9.148936170212766,29,61,0,15,0.6,0.4311557788944724,0.8920353982300885,81,995,1,6,-2.635678391959799
7.684210526315789,3,26,0,16,0.1,0.14673366834170853,0.43478260869565216,57,25,3,144,0.04301507537688465
5.31404958677686,28,297,51,16,0.2,0.6452261306532663,0.15625,38,995,3,161,-2.4514572864321607
7.1313131313131315,47,234,12,16,0.3,0.7085427135678392,0.1903114186851211,78,995,3,63,-4.39356783919598
7.3061224489795915,47,224,7,16,0.4,0.7195979899497488,0.19424460431654678,72,995,5,56,-4.436683417085427
8.73972602739726,49,138,4,16,0.5,0.6402010050251257,0.6134453781512605,44,995,6,24,-4.658090452261305
9.612244897959183,24,59,0,16,0.6,0.4723618090452261,0.8874045801526718,50,995,2,11,-2.13748743718593
7.043478260869565,1,37,1,17,0.1,0.1628140703517588,0.39344262295081966,64,63,6,187,0.21537688442211064
5.912280701754386,26,274,40,17,0.2,0.6763819095477387,0.14641744548286603,8,995,3,127,-2.2488442211055277
7.121212121212121,43,237,19,17,0.3,0.7075376884422111,0.18275862068965518,57,995,4,93,-3.9969849246231157
7.510416666666667,40,233,10,17,0.4,0.7236180904522613,0.14963503649635038,47,995,8,49,-3.745427135678392
7.361702127659575,38,214,7,17,0.5,0.6934673366834171,0.29605263157894735,11,995,4,48,-3.532060301507537
8.865384615384615,35,67,0,17,0.6,0.4623115577889447,0.8745318352059925,21,995,1,9,-3.2296482412060303
6.708333333333333,4,33,2,18,0.1,0.16180904522613065,0.547945205479452,82,25,3,172,-0.054673366834170734
5.555555555555555,25,283,46,18,0.2,0.6532663316582915,0.17732558139534885,66,994,2,156,-2.1441206030150752
7.141414141414141,47,229,8,18,0.3,0.7105527638190955,0.20209059233449478,66,995,4,65,-4.391457286432161
8.284090909090908,50,209,7,18,0.4,0.7296482412060301,0.22014925373134328,70,995,6,44,-4.749346733668341
8.55,45,176,10,18,0.5,0.6874371859296482,0.432258064516129,52,995,0,43,-4.195477386934673
9.038461538461538,42,63,0,18,0.6,0.4723618090452261,0.8797709923664122,87,995,2,9,-3.9415075376884414
5.214285714285714,1,26,7,19,0.1,0.07336683417085427,0.23529411764705882,26,29,0,215,0.27095477386934685
5.248,28,282,49,19,0.2,0.6572864321608041,0.17058823529411765,41,995,2,161,-2.4447236180904524
7.371134020618556,46,235,12,19,0.3,0.7175879396984924,0.16071428571428573,71,995,4,65,-4.303115577889447
8.188888888888888,42,216,10,19,0.4,0.7396984924623116,0.16279069767441862,22,995,3,45,-3.909547738693467
8.43661971830986,46,124,2,19,0.5,0.6010050251256281,0.6868686868686869,22,995,6,22,-4.358492462311558
9.145454545454545,36,98,1,19,0.6,0.5055276381909548,0.8004073319755601,28,995,1,8,-3.3216080402010046
5.857142857142857,2,47,8,20,0.1,0.12361809045226131,0.3561643835616438,66,38,0,225,0.17557788944723624
6.528846153846154,33,260,35,20,0.2,0.6804020100502512,0.17981072555205047,63,995,5,117,-2.9724623115577886
7.06,34,233,14,20,0.3,0.7085427135678392,0.19377162629757785,80,995,4,80,-3.0936683417085424
7.904255319148936,63,207,7,20,0.4,0.7457286432160805,0.17857142857142858,79,995,5,57,-6.035678391959799
7.961538461538462,42,136,1,20,0.5,0.6221105527638191,0.6373333333333333,45,995,4,41,-3.940904522613065
8.784313725490197,27,68,0,20,0.6,0.45025125628140705,0.8754578754578755,22,995,1,11,-2.429145728643216
6.9375,2,25,2,21,0.1,0.11155778894472362,0.5283018867924528,59,24,1,230,0.16231155778894482
5.426229508196721,32,281,44,21,0.2,0.664321608040201,0.15615615615615616,18,995,10,161,-2.923819095477387
6.864077669902913,38,230,13,21,0.3,0.7085427135678392,0.2041522491349481,59,995,5,77,-3.5140703517587935
7.698924731182796,54,219,13,21,0.4,0.7185929648241206,0.21505376344086022,57,995,4,58,-5.125829145728643
7.694117647058824,52,152,5,21,0.5,0.6562814070351759,0.5542521994134897,36,995,1,50,-4.9074371859296475
8.893617021276595,34,54,0,21,0.6,0.4190954773869347,0.9064124783362218,50,995,1,7,-3.136281407035175
3.888888888888889,1,14,3,22,0.1,0.035175879396984924,0.5,24,17,0,203,0.2727638190954775
5.508196721311475,33,273,37,22,0.2,0.6743718592964824,0.15479876160990713,40,995,9,148,-3.020502512562814
6.701923076923077,37,255,19,22,0.3,0.699497487437186,0.14429530201342283,29,995,4,86,-3.3952763819095475
7.23469387755102,47,233,11,22,0.4,0.7115577889447237,0.1853146853146853,50,995,6,70,-4.439597989949748
8.46987951807229,40,153,5,22,0.5,0.7045226130653266,0.4778156996587031,53,995,7,33,-3.769246231155779
9.583333333333334,30,52,0,22,0.6,0.46130653266331656,0.902803738317757,28,995,1,6,-2.7294472361809046
5.3076923076923075,2,24,1,23,0.1,0.06934673366834171,0.52,54,13,0,199,0.17145728643216088
5.538461538461538,34,290,56,23,0.2,0.650251256281407,0.1642651296829971,61,993,7,184,-3.0952763819095477
6.317757009345795,39,264,36,23,0.3,0.678391959798995,0.1724137931034483,73,995,4,123,-3.5884422110552765
7.769230769230769,37,242,21,23,0.4,0.7095477386934673,0.1597222222222222,64,995,7,56,-3.448341708542714
7.9868421052631575,45,131,6,23,0.5,0.6090452261306533,0.6623711340206185,40,995,6,40,-4.259195979899497
9.09433962264151,29,68,0,23,0.6,0.4824120603015075,0.867704280155642,58,995,4,5,-2.6587939698492464
7.8,1,11,2,24,0.1,0.03919597989949749,0.26666666666666666,8,43,0,178,0.27045226130653277
4.916666666666667,31,293,43,24,0.2,0.6512562814070352,0.13569321533923304,42,976,9,165,-2.816884422110553
6.336363636363636,45,242,29,24,0.3,0.699497487437186,0.18791946308724833,57,995,3,121,-4.185929648241206
8.087912087912088,49,207,9,24,0.4,0.7396984924623116,0.19767441860465115,31,995,5,44,-4.632261306532664
8.706666666666667,63,128,2,24,0.5,0.6552763819095477,0.6257309941520468,55,995,5,31,-6.0545728643216075
9.91304347826087,31,51,0,24,0.6,0.45829145728643217,0.9052044609665427,56,995,3,4,-2.8498492462311553
