prop_manual,n_RtI,n_emergency,prop_rejected_RtI,avg_len_man,state_warnings,rock_warnings,puddle_warnings
0.15376884422110554,55,12,0.12698412698412698,5.275862068965517,298,24,67
0.1487437185929648,60,19,0.11764705882352941,5.103448275862069,246,39,64
0.11155778894472362,52,11,0.16129032258064516,4.111111111111111,320,43,60
0.1899497487437186,77,14,0.08333333333333333,4.395348837209302,333,47,75
0.13969849246231156,53,16,0.13114754098360656,4.633333333333334,283,24,66
0.14974874371859295,63,20,0.07352941176470588,5.518518518518518,304,52,72
0.12763819095477386,56,15,0.08196721311475409,4.535714285714286,316,22,70
0.17788944723618091,71,20,0.14457831325301204,4.916666666666667,261,41,87
0.10251256281407035,54,21,0.12903225806451613,3.7777777777777777,283,22,69
0.11055276381909548,72,29,0.06493506493506493,3.5483870967741935,350,33,96
0.14371859296482412,51,11,0.16393442622950818,4.205882352941177,306,21,75
0.15577889447236182,65,19,0.07142857142857142,4.5588235294117645,317,32,74
0.2050251256281407,72,13,0.08860759493670886,5.828571428571428,265,29,116
0.1457286432160804,59,15,0.10606060606060606,4.53125,315,21,73
0.1527638190954774,71,16,0.10126582278481013,3.731707317073171,269,24,108
0.13668341708542714,59,19,0.04838709677419355,4.689655172413793,255,26,69
0.14472361809045226,57,18,0.12307692307692308,4.5,263,43,59
0.10753768844221105,55,15,0.09836065573770492,3.566666666666667,286,22,58
0.1407035175879397,45,10,0.1346153846153846,5.0,281,30,55
0.13467336683417086,59,14,0.06349206349206349,4.32258064516129,304,52,91
0.1457286432160804,64,17,0.07246376811594203,4.393939393939394,369,23,98
0.10050251256281408,57,15,0.09523809523809523,3.4482758620689653,343,60,49
0.13969849246231156,47,10,0.11320754716981132,4.666666666666667,280,27,74
0.12361809045226131,75,28,0.07407407407407407,3.757575757575758,263,52,81
0.11457286432160804,66,20,0.08333333333333333,3.1944444444444446,282,56,74
0.16683417085427135,66,19,0.0958904109589041,4.513513513513513,341,23,83
0.15979899497487438,66,16,0.18518518518518517,4.542857142857143,314,54,67
0.13467336683417086,60,13,0.047619047619047616,3.9411764705882355,340,53,70
0.1628140703517588,55,14,0.08333333333333333,5.225806451612903,273,34,94
0.11959798994974874,65,20,0.2073170731707317,3.838709677419355,328,35,75
0.1487437185929648,68,14,0.05555555555555555,4.0,354,21,81
0.1728643216080402,65,13,0.057971014492753624,4.410256410256411,261,70,59
