avg_len_man,crashes,n_RtI,n_emergency,n_exp,pr_puddle,prop_manual,prop_rejected_RtI,puddle_warnings,rock_warnings,skids,state_warnings,utility
7.580645161290323,4,240,18,6,0.4,0.7075376884422111,0.1724137931034483,995,15,36,55,-0.4137688442211055
8.710843373493976,7,205,1,6,0.5,0.7266331658291457,0.24354243542435425,995,12,48,21,-0.8626130653266333
9.279411764705882,4,157,0,6,0.6,0.6311557788944724,0.5710382513661202,995,78,42,15,-0.5125628140703518
7.363636363636363,0,40,2,7,0.1,0.1628140703517588,0.4936708860759494,112,23,1,161,0.3709547738693468
5.872727272727273,7,277,44,7,0.2,0.6492462311557788,0.10355987055016182,895,29,22,147,-0.5469346733668341
6.883495145631068,5,245,12,7,0.3,0.7115577889447237,0.14335664335664336,995,13,29,69,-0.4307537688442212
7.391752577319588,7,240,12,7,0.4,0.7185929648241206,0.13978494623655913,995,12,33,55,-0.6921608040201005
8.458823529411765,11,195,0,7,0.5,0.721608040201005,0.29347826086956524,995,12,36,22,-1.132964824120603
9.305555555555555,5,165,0,7,0.6,0.6733668341708543,0.49074074074074076,995,12,38,5,-0.578894472361809
5.7,1,45,4,8,0.1,0.17185929648241205,0.55,116,23,3,190,0.24934673366834179
6.391891891891892,4,162,19,8,0.2,0.47537688442211057,0.25688073394495414,534,13,18,125,-0.20160804020100495
6.663551401869159,11,248,19,8,0.3,0.7165829145728643,0.11743772241992882,995,19,38,101,-1.1196984924623115
6.735849056603773,9,231,11,8,0.4,0.7175879396984924,0.175,995,14,41,72,-0.9702512562814072
7.706521739130435,8,219,0,8,0.5,0.7115577889447237,0.23426573426573427,995,31,37,28,-0.8488442211055278
9.27027027027027,2,164,0,8,0.6,0.6884422110552764,0.4692556634304207,995,38,44,12,-0.3269346733668342
6.916666666666667,5,51,5,9,0.1,0.25025125628140704,0.5096153846153846,147,25,6,195,-0.17869346733668331
6.637931034482759,5,127,6,9,0.2,0.3869346733668342,0.2529411764705882,378,12,15,93,-0.2748743718592965
6.83,9,248,20,9,0.3,0.685427135678392,0.20512820512820512,995,30,35,93,-0.8886432160804021
